gender,race/ethnicity,parental level of education,lunch,age,country_region,years_in_us,family_income_usd,financial_support,work_hours_per_week,scholarship_status,housing_type,study_hours_per_week,attendance_percentage,sleep_hours_per_day,screen_time_hours,campus_activity_participation,library_usage_hours,stress_level,homesickness_level,academic_pressure,social_support_score,visa_type,work_restriction_impact,prev_sem_gpa,english_proficiency_score,semester_gpa
female,group B,some college,standard,29.0,South Korea,0.0,53243.0,Scholarship,14.0,Yes,On-campus,34.0,75.0,6.1,2.6,3.0,6.2,9.0,9.0,6.0,7.0,F1,6.0,2.37,101.7,2.23
female,group C,master's degree,free/reduced,28.0,Nigeria,3.0,41800.0,Scholarship,3.0,No,With relatives,8.0,81.0,4.5,9.9,1.0,9.0,8.0,2.0,7.0,8.0,Other,9.0,3.12,80.7,2.27
female,group C,some high school,free/reduced,21.0,Nigeria,4.0,95939.0,Self-funded,28.0,Yes,Off-campus,24.0,79.0,4.6,8.3,2.0,10.6,6.0,3.0,1.0,2.0,F1,3.0,3.73,111.1,2.66
male,group C,some college,standard,20.0,Nigeria,0.0,77828.0,Scholarship,26.0,No,Off-campus,29.0,79.0,6.1,9.4,0.0,14.3,6.0,2.0,3.0,4.0,F1,10.0,3.77,93.1,2.85
female,group C,some high school,free/reduced,27.0,Other,3.0,27239.0,Loan,8.0,No,Off-campus,32.0,60.0,7.8,3.6,0.0,3.7,1.0,8.0,2.0,2.0,F1,4.0,2.14,98.9,2.45
female,group E,high school,standard,20.0,Nigeria,1.0,26710.0,Loan,26.0,Yes,Off-campus,16.0,93.0,8.5,9.7,4.0,11.2,2.0,2.0,8.0,4.0,F1,10.0,2.84,111.9,2.62
male,group D,high school,standard,20.0,Brazil,0.0,41384.0,Family,25.0,No,Off-campus,6.0,73.0,7.3,3.1,0.0,7.8,4.0,10.0,9.0,6.0,F1,8.0,3.17,81.9,2.01
male,group D,some high school,free/reduced,21.0,Other,2.0,41038.0,Self-funded,18.0,No,With relatives,18.0,60.0,4.5,6.1,1.0,4.0,3.0,2.0,2.0,6.0,F1,6.0,2.29,86.3,2.45
female,group C,bachelor's degree,standard,24.0,Brazil,0.0,60846.0,Family,23.0,No,With relatives,26.0,75.0,7.4,8.6,4.0,11.6,1.0,1.0,2.0,2.0,J1,7.0,3.53,95.9,2.99
female,group D,high school,standard,21.0,Other,0.0,107983.0,Loan,27.0,No,Off-campus,35.0,72.0,7.2,4.8,0.0,8.3,8.0,7.0,10.0,4.0,F1,7.0,3.49,89.2,2.34
female,group D,associate's degree,standard,26.0,UK,3.0,87821.0,Family,16.0,No,With relatives,27.0,92.0,8.0,5.4,2.0,9.9,7.0,2.0,9.0,4.0,F1,4.0,3.81,93.5,2.71
female,group E,some college,free/reduced,18.0,China,1.0,57991.0,Loan,10.0,Yes,With relatives,24.0,76.0,8.1,3.0,1.0,4.8,4.0,10.0,4.0,1.0,F1,6.0,2.02,119.9,2.1
male,group C,bachelor's degree,standard,25.0,India,2.0,99057.0,Family,24.0,Yes,Off-campus,8.0,63.0,8.3,3.0,2.0,7.2,9.0,5.0,5.0,2.0,J1,9.0,2.43,113.0,1.87
male,group C,some college,standard,24.0,Nigeria,4.0,133193.0,Scholarship,8.0,Yes,With relatives,19.0,60.0,6.1,7.0,2.0,9.3,4.0,5.0,9.0,3.0,J1,3.0,3.65,115.4,2.25
female,group D,associate's degree,free/reduced,19.0,UK,4.0,26971.0,Family,9.0,No,With relatives,28.0,60.0,7.5,7.4,4.0,6.1,1.0,3.0,6.0,5.0,F1,8.0,3.34,117.5,2.78
female,group D,some college,standard,25.0,China,0.0,49139.0,Scholarship,17.0,Yes,With relatives,29.0,70.0,5.3,8.2,3.0,3.0,10.0,3.0,10.0,8.0,F1,7.0,3.79,93.6,2.45
male,group B,some college,standard,18.0,India,3.0,105445.0,Scholarship,19.0,No,Off-campus,5.0,85.0,9.0,6.5,4.0,14.4,1.0,3.0,9.0,6.0,F1,4.0,2.11,91.9,2.33
male,group C,bachelor's degree,standard,28.0,Germany,3.0,97067.0,Self-funded,12.0,No,With relatives,11.0,78.0,4.9,7.2,1.0,7.7,1.0,6.0,9.0,3.0,F1,10.0,3.19,89.4,2.17
female,group C,some high school,standard,29.0,South Korea,4.0,100257.0,Scholarship,7.0,No,On-campus,35.0,92.0,4.1,2.1,1.0,11.0,1.0,4.0,7.0,6.0,F1,3.0,3.14,113.2,2.85
female,group E,high school,standard,26.0,Brazil,2.0,104742.0,Scholarship,6.0,No,On-campus,16.0,63.0,4.7,3.3,4.0,6.2,4.0,3.0,10.0,7.0,F1,7.0,2.07,107.2,2.04
female,group C,some high school,free/reduced,26.0,Germany,1.0,57711.0,Family,16.0,No,Off-campus,9.0,86.0,7.9,9.9,3.0,5.3,1.0,2.0,9.0,6.0,F1,10.0,3.03,89.4,2.57
male,group B,bachelor's degree,free/reduced,19.0,Other,2.0,26530.0,Loan,20.0,No,On-campus,16.0,60.0,6.2,2.6,4.0,6.1,2.0,3.0,5.0,10.0,F1,9.0,3.22,95.1,2.72
male,group D,high school,standard,24.0,India,1.0,31116.0,Self-funded,22.0,Yes,Off-campus,22.0,60.0,6.2,7.4,1.0,6.1,4.0,4.0,5.0,6.0,F1,10.0,2.38,100.3,2.36
male,group D,high school,standard,27.0,Germany,4.0,85794.0,Scholarship,14.0,Yes,On-campus,6.0,60.0,8.8,3.4,3.0,8.2,7.0,6.0,8.0,1.0,J1,3.0,2.55,101.1,1.75
female,group D,bachelor's degree,free/reduced,20.0,South Korea,1.0,20282.0,Self-funded,19.0,No,On-campus,14.0,79.0,8.6,7.7,1.0,8.2,2.0,4.0,10.0,3.0,F1,10.0,3.28,115.5,2.4
female,group D,some college,free/reduced,24.0,UK,3.0,99473.0,Family,14.0,Yes,On-campus,19.0,78.0,5.6,7.6,3.0,7.5,8.0,8.0,4.0,7.0,F1,9.0,2.94,95.2,2.27
female,group B,some high school,standard,29.0,India,0.0,21898.0,Scholarship,0.0,Yes,Off-campus,34.0,60.0,5.0,3.9,3.0,2.0,7.0,3.0,9.0,4.0,F1,8.0,3.72,116.3,2.44
male,group B,associate's degree,standard,27.0,Germany,0.0,24135.0,Family,24.0,No,Off-campus,21.0,82.0,8.2,4.2,4.0,7.4,9.0,3.0,7.0,4.0,F1,3.0,2.68,97.7,2.31
male,group E,associate's degree,standard,26.0,Brazil,4.0,26629.0,Self-funded,13.0,Yes,With relatives,8.0,82.0,8.5,7.2,4.0,2.5,6.0,3.0,7.0,7.0,F1,8.0,2.53,109.9,2.34
female,group B,some high school,standard,21.0,Brazil,3.0,129472.0,Family,4.0,No,Off-campus,11.0,89.0,6.7,5.1,4.0,1.9,4.0,8.0,3.0,9.0,F1,4.0,3.97,117.2,2.75
male,group B,bachelor's degree,free/reduced,29.0,China,2.0,145147.0,Self-funded,10.0,Yes,On-campus,35.0,75.0,7.1,3.6,3.0,14.0,6.0,4.0,4.0,2.0,F1,6.0,3.82,116.3,2.77
male,group E,some high school,standard,18.0,Germany,3.0,105120.0,Family,15.0,No,On-campus,38.0,76.0,5.3,7.9,3.0,9.1,4.0,1.0,7.0,9.0,F1,10.0,2.06,82.3,2.75
male,group C,associate's degree,standard,19.0,Nigeria,0.0,139798.0,Self-funded,1.0,No,Off-campus,10.0,70.0,8.0,3.2,1.0,9.9,7.0,2.0,5.0,3.0,F1,2.0,3.54,88.2,2.39
male,group D,some high school,standard,18.0,Germany,0.0,109087.0,Loan,7.0,No,Off-campus,38.0,73.0,7.2,8.8,2.0,6.0,9.0,10.0,3.0,6.0,F1,8.0,2.22,99.1,2.33
male,group C,some high school,standard,29.0,UK,3.0,85031.0,Family,10.0,No,Off-campus,19.0,60.0,6.5,6.1,4.0,13.6,3.0,2.0,1.0,4.0,Other,9.0,2.05,97.3,2.46
female,group E,bachelor's degree,standard,22.0,India,3.0,53380.0,Family,28.0,No,With relatives,18.0,73.0,4.3,2.8,1.0,9.6,3.0,3.0,7.0,1.0,F1,7.0,2.55,105.6,2.13
male,group D,high school,free/reduced,22.0,India,0.0,149951.0,Loan,17.0,Yes,On-campus,10.0,77.0,8.6,7.6,1.0,11.5,2.0,6.0,6.0,9.0,F1,8.0,2.54,117.8,2.5
male,group B,associate's degree,free/reduced,28.0,UK,2.0,132507.0,Loan,2.0,No,With relatives,36.0,62.0,7.1,6.2,0.0,5.5,1.0,8.0,10.0,6.0,F1,7.0,3.64,84.5,2.64
male,group A,some high school,standard,24.0,Germany,4.0,37071.0,Family,29.0,No,With relatives,7.0,60.0,5.0,4.4,4.0,14.4,1.0,1.0,7.0,8.0,J1,10.0,3.42,98.1,2.53
male,group E,associate's degree,standard,26.0,UK,4.0,40074.0,Loan,25.0,No,On-campus,7.0,74.0,7.0,5.4,1.0,12.3,3.0,9.0,2.0,2.0,F1,4.0,3.96,87.7,2.37
male,group C,high school,free/reduced,26.0,South Korea,3.0,110724.0,Scholarship,0.0,No,On-campus,26.0,60.0,7.4,4.4,0.0,12.8,7.0,1.0,4.0,7.0,F1,1.0,3.42,115.8,2.76
male,group D,associate's degree,free/reduced,20.0,Other,4.0,87843.0,Self-funded,10.0,Yes,Off-campus,26.0,87.0,6.6,4.1,4.0,2.6,9.0,10.0,2.0,6.0,J1,3.0,2.84,118.6,2.37
male,group A,some college,free/reduced,20.0,UK,0.0,59901.0,Self-funded,15.0,No,Off-campus,14.0,78.0,7.6,3.3,3.0,4.1,2.0,2.0,8.0,2.0,F1,7.0,3.4,99.1,2.5
male,group D,some high school,free/reduced,20.0,Brazil,0.0,31205.0,Self-funded,17.0,No,With relatives,7.0,60.0,6.9,4.9,0.0,4.3,7.0,3.0,7.0,2.0,F1,7.0,4.0,84.2,2.17
female,group C,associate's degree,standard,21.0,UK,3.0,75661.0,Scholarship,29.0,Yes,Off-campus,16.0,84.0,8.7,4.0,3.0,4.1,1.0,7.0,1.0,4.0,F1,3.0,3.42,111.4,2.81
male,group B,associate's degree,standard,25.0,India,3.0,144661.0,Loan,15.0,No,Off-campus,33.0,76.0,4.3,7.5,2.0,12.8,2.0,9.0,2.0,4.0,J1,1.0,3.52,107.9,2.69
female,group C,associate's degree,standard,23.0,Brazil,3.0,25906.0,Loan,22.0,Yes,On-campus,21.0,75.0,4.5,7.5,2.0,0.5,6.0,3.0,2.0,3.0,F1,10.0,3.88,94.2,2.62
male,group A,some college,standard,25.0,India,2.0,22591.0,Family,9.0,Yes,On-campus,11.0,67.0,4.9,6.0,2.0,1.1,5.0,8.0,4.0,8.0,F1,9.0,2.23,115.5,2.07
male,group E,some college,standard,18.0,China,4.0,145576.0,Loan,17.0,Yes,Off-campus,17.0,87.0,7.5,8.2,2.0,4.1,8.0,9.0,3.0,7.0,F1,6.0,3.41,119.0,2.47
male,group C,some high school,standard,25.0,Nigeria,3.0,82987.0,Family,5.0,Yes,On-campus,6.0,60.0,7.2,8.7,1.0,3.0,2.0,10.0,1.0,2.0,F1,7.0,3.7,102.3,2.27
female,group B,associate's degree,free/reduced,21.0,India,1.0,83370.0,Scholarship,18.0,No,Off-campus,8.0,71.0,8.5,6.6,2.0,3.5,1.0,7.0,2.0,3.0,F1,1.0,3.91,102.6,2.63
female,group D,high school,free/reduced,28.0,Brazil,1.0,100685.0,Self-funded,3.0,Yes,On-campus,14.0,60.0,7.7,7.0,1.0,12.0,7.0,4.0,9.0,10.0,F1,1.0,2.42,91.9,2.2
female,group B,associate's degree,standard,18.0,China,0.0,130454.0,Self-funded,26.0,No,On-campus,28.0,76.0,6.5,4.3,1.0,8.4,6.0,4.0,1.0,9.0,F1,4.0,3.01,103.4,2.89
male,group B,bachelor's degree,standard,25.0,India,4.0,125487.0,Self-funded,12.0,No,On-campus,21.0,60.0,9.0,9.2,4.0,0.1,8.0,4.0,9.0,5.0,F1,7.0,3.36,97.6,2.31
male,group D,bachelor's degree,standard,21.0,South Korea,3.0,74400.0,Loan,23.0,Yes,On-campus,10.0,61.0,5.3,2.2,1.0,6.4,8.0,6.0,7.0,2.0,F1,8.0,2.49,92.1,1.69
female,group C,associate's degree,free/reduced,23.0,UK,1.0,45150.0,Family,13.0,No,Off-campus,23.0,67.0,8.2,4.8,1.0,6.1,2.0,4.0,2.0,3.0,J1,10.0,3.2,82.7,2.75
female,group C,bachelor's degree,standard,25.0,Nigeria,4.0,51852.0,Family,2.0,No,With relatives,9.0,64.0,6.1,7.8,2.0,1.7,8.0,5.0,2.0,8.0,F1,9.0,2.52,90.1,2.21
male,group C,high school,standard,21.0,India,0.0,62870.0,Scholarship,9.0,No,On-campus,36.0,66.0,7.2,2.6,1.0,10.1,6.0,9.0,5.0,4.0,J1,1.0,2.67,87.9,2.35
female,group D,master's degree,standard,20.0,China,2.0,139796.0,Loan,5.0,Yes,Off-campus,14.0,82.0,7.6,3.5,3.0,10.5,9.0,7.0,5.0,2.0,F1,4.0,2.88,101.7,2.06
male,group C,associate's degree,standard,26.0,South Korea,4.0,72756.0,Scholarship,0.0,No,Off-campus,13.0,72.0,7.2,6.7,2.0,10.8,7.0,8.0,4.0,2.0,F1,4.0,3.06,104.1,2.08
male,group B,bachelor's degree,standard,20.0,Germany,4.0,135357.0,Family,22.0,No,On-campus,31.0,71.0,4.7,6.5,0.0,10.9,2.0,5.0,10.0,6.0,F1,3.0,2.9,104.3,2.44
female,group D,associate's degree,free/reduced,26.0,China,2.0,139052.0,Family,23.0,Yes,With relatives,17.0,65.0,6.2,7.9,2.0,0.0,8.0,5.0,10.0,8.0,F1,7.0,2.99,95.5,2.12
female,group C,high school,free/reduced,19.0,UK,4.0,76481.0,Self-funded,26.0,Yes,On-campus,23.0,79.0,6.8,8.5,1.0,14.3,9.0,7.0,3.0,7.0,Other,1.0,2.6,96.8,2.36
female,group E,high school,standard,19.0,China,0.0,21283.0,Loan,13.0,No,Off-campus,25.0,86.0,8.2,3.0,3.0,12.2,7.0,8.0,4.0,4.0,J1,9.0,2.32,113.4,2.32
female,group C,some college,standard,19.0,South Korea,0.0,53691.0,Family,7.0,Yes,With relatives,28.0,81.0,6.2,2.1,2.0,13.6,4.0,9.0,10.0,2.0,F1,8.0,2.09,99.0,1.96
female,group C,some high school,free/reduced,23.0,China,2.0,21125.0,Self-funded,18.0,No,Off-campus,8.0,60.0,8.6,7.5,3.0,0.2,9.0,2.0,4.0,9.0,F1,2.0,2.39,119.5,2.3
female,group C,high school,free/reduced,20.0,South Korea,3.0,87065.0,Loan,13.0,No,On-campus,28.0,60.0,6.2,4.4,0.0,14.0,4.0,3.0,2.0,4.0,F1,2.0,3.16,97.6,2.69
female,group C,some college,standard,26.0,India,1.0,148734.0,Scholarship,9.0,No,With relatives,39.0,90.0,6.7,7.0,0.0,12.1,4.0,2.0,5.0,9.0,F1,8.0,3.57,106.0,3.26
male,group C,some college,standard,21.0,Other,3.0,46170.0,Loan,16.0,No,Off-campus,7.0,61.0,8.0,3.2,4.0,12.6,9.0,10.0,5.0,5.0,F1,1.0,2.34,82.0,1.73
male,group A,some college,free/reduced,18.0,South Korea,4.0,28438.0,Loan,8.0,Yes,Off-campus,8.0,60.0,6.9,5.8,4.0,1.4,8.0,7.0,5.0,7.0,F1,7.0,2.22,106.1,1.91
male,group C,associate's degree,standard,21.0,South Korea,1.0,40095.0,Family,28.0,Yes,Off-campus,39.0,75.0,8.8,6.0,2.0,11.1,4.0,2.0,10.0,5.0,F1,9.0,3.5,114.1,2.89
female,group B,some high school,standard,18.0,Nigeria,2.0,36154.0,Family,5.0,No,On-campus,35.0,60.0,7.3,6.7,4.0,14.4,8.0,2.0,1.0,2.0,F1,3.0,2.61,117.7,2.57
male,group C,high school,standard,22.0,South Korea,2.0,28004.0,Loan,10.0,No,With relatives,29.0,60.0,6.6,6.1,3.0,10.2,8.0,2.0,6.0,6.0,J1,7.0,3.9,119.9,2.67
male,group C,associate's degree,standard,21.0,South Korea,1.0,29752.0,Family,24.0,No,On-campus,17.0,60.0,4.1,6.0,4.0,8.6,7.0,4.0,2.0,7.0,J1,6.0,3.43,91.3,2.44
male,group E,associate's degree,standard,25.0,Germany,0.0,75426.0,Family,6.0,Yes,On-campus,8.0,60.0,6.1,4.7,3.0,14.2,10.0,1.0,7.0,6.0,F1,7.0,2.65,103.0,2.0
male,group B,associate's degree,standard,25.0,Other,1.0,128896.0,Family,16.0,Yes,On-campus,18.0,78.0,5.5,2.6,4.0,6.6,6.0,2.0,4.0,3.0,J1,7.0,2.58,98.0,2.34
female,group C,bachelor's degree,standard,24.0,India,4.0,46819.0,Self-funded,27.0,Yes,With relatives,17.0,93.0,7.7,2.7,4.0,9.0,8.0,3.0,5.0,10.0,F1,10.0,3.05,102.6,2.73
female,group B,some college,free/reduced,20.0,UK,0.0,122168.0,Self-funded,27.0,No,On-campus,31.0,68.0,5.0,5.5,4.0,7.1,7.0,7.0,5.0,8.0,F1,1.0,2.16,86.3,2.29
male,group D,some high school,standard,18.0,Nigeria,2.0,112051.0,Loan,0.0,Yes,On-campus,10.0,70.0,5.0,4.8,1.0,14.0,5.0,10.0,5.0,3.0,F1,3.0,2.24,114.2,1.76
male,group C,associate's degree,standard,18.0,Germany,1.0,147905.0,Family,21.0,No,On-campus,21.0,60.0,4.9,6.1,1.0,1.1,4.0,1.0,2.0,5.0,F1,10.0,2.35,116.4,2.48
female,group B,some high school,free/reduced,29.0,Brazil,3.0,44217.0,Self-funded,4.0,No,On-campus,39.0,60.0,4.6,4.4,4.0,7.5,2.0,6.0,5.0,9.0,F1,1.0,3.55,98.0,2.9
female,group D,some high school,free/reduced,28.0,Other,3.0,145949.0,Loan,8.0,No,Off-campus,21.0,60.0,5.6,7.5,3.0,10.3,8.0,3.0,3.0,5.0,J1,5.0,3.03,91.2,2.37
male,group C,high school,free/reduced,20.0,India,4.0,108708.0,Family,17.0,No,On-campus,6.0,61.0,8.4,8.9,2.0,11.9,9.0,3.0,4.0,7.0,Other,3.0,2.02,85.6,2.07
female,group C,high school,standard,23.0,India,3.0,52994.0,Scholarship,23.0,Yes,Off-campus,17.0,73.0,7.9,4.4,0.0,8.7,4.0,4.0,2.0,7.0,F1,1.0,3.35,107.4,2.79
female,group B,high school,standard,24.0,Brazil,1.0,35036.0,Family,26.0,No,On-campus,6.0,76.0,7.7,3.5,1.0,13.6,4.0,4.0,4.0,5.0,F1,2.0,2.85,92.5,2.38
male,group D,associate's degree,standard,23.0,UK,1.0,97275.0,Family,20.0,No,With relatives,32.0,72.0,8.0,2.9,4.0,14.1,5.0,7.0,9.0,2.0,F1,10.0,3.02,116.4,2.31
male,group D,some college,standard,23.0,South Korea,3.0,117756.0,Self-funded,1.0,No,Off-campus,30.0,73.0,5.3,6.9,0.0,1.0,2.0,3.0,8.0,5.0,F1,5.0,2.43,106.8,2.49
female,group C,high school,standard,23.0,Germany,1.0,69416.0,Loan,28.0,No,Off-campus,26.0,80.0,8.4,5.6,1.0,6.0,7.0,8.0,3.0,7.0,F1,3.0,3.1,105.8,2.62
male,group B,some college,standard,20.0,China,4.0,29587.0,Loan,25.0,No,Off-campus,7.0,61.0,4.7,3.5,2.0,0.4,5.0,8.0,1.0,7.0,F1,6.0,3.96,102.4,2.39
female,group C,bachelor's degree,standard,23.0,Nigeria,0.0,130053.0,Self-funded,10.0,Yes,Off-campus,39.0,94.0,5.7,7.2,3.0,4.9,6.0,7.0,1.0,4.0,F1,9.0,2.15,81.8,2.63
male,group D,high school,free/reduced,25.0,China,4.0,115665.0,Family,26.0,Yes,With relatives,16.0,74.0,6.9,3.2,4.0,8.1,4.0,2.0,6.0,1.0,F1,6.0,2.57,117.3,2.26
male,group E,associate's degree,standard,28.0,Brazil,4.0,20645.0,Scholarship,27.0,No,On-campus,28.0,74.0,4.5,6.4,2.0,13.7,8.0,5.0,3.0,6.0,F1,2.0,2.49,105.1,2.36
female,group B,bachelor's degree,standard,28.0,India,1.0,50930.0,Family,5.0,No,Off-campus,9.0,65.0,7.7,6.2,1.0,12.7,8.0,6.0,4.0,3.0,F1,2.0,2.5,119.8,1.97
male,group E,some college,standard,19.0,UK,0.0,101835.0,Family,25.0,Yes,With relatives,24.0,60.0,5.9,7.9,4.0,1.9,5.0,10.0,1.0,5.0,F1,8.0,2.76,101.5,2.29
female,group C,some college,standard,22.0,India,1.0,142232.0,Scholarship,7.0,No,Off-campus,17.0,78.0,7.9,2.4,0.0,1.4,6.0,4.0,8.0,4.0,F1,8.0,3.64,108.4,2.44
female,group C,associate's degree,standard,18.0,Nigeria,2.0,50090.0,Self-funded,3.0,No,On-campus,16.0,60.0,6.5,9.1,3.0,8.8,3.0,10.0,1.0,2.0,F1,6.0,3.83,82.2,2.37
female,group C,some college,standard,29.0,India,1.0,107489.0,Loan,17.0,Yes,Off-campus,17.0,71.0,4.9,7.6,1.0,8.0,1.0,5.0,5.0,7.0,F1,10.0,2.4,105.3,2.42
female,group B,bachelor's degree,standard,18.0,India,1.0,72142.0,Self-funded,27.0,No,With relatives,14.0,72.0,7.7,3.7,3.0,4.0,9.0,9.0,6.0,5.0,F1,7.0,3.09,110.6,2.04
male,group A,associate's degree,standard,22.0,Nigeria,1.0,131979.0,Self-funded,10.0,No,On-campus,37.0,61.0,5.3,3.5,4.0,13.5,9.0,7.0,2.0,7.0,J1,1.0,3.27,111.1,2.57
female,group C,some college,free/reduced,29.0,Germany,0.0,46475.0,Family,4.0,Yes,With relatives,20.0,66.0,6.5,5.5,2.0,13.9,3.0,2.0,7.0,9.0,F1,9.0,3.04,110.8,2.67
male,group D,some college,free/reduced,20.0,Germany,1.0,38888.0,Loan,14.0,No,On-campus,39.0,62.0,4.4,8.5,3.0,6.0,4.0,1.0,7.0,4.0,F1,5.0,2.87,89.1,2.61
female,group D,some college,standard,21.0,Nigeria,0.0,63732.0,Loan,27.0,No,On-campus,7.0,90.0,7.1,8.7,0.0,13.4,7.0,2.0,1.0,5.0,F1,9.0,2.38,119.0,2.44
female,group B,high school,standard,20.0,UK,3.0,101623.0,Self-funded,17.0,No,On-campus,9.0,62.0,7.3,6.2,1.0,5.8,2.0,3.0,4.0,9.0,F1,2.0,2.98,119.8,2.63
male,group B,some high school,standard,18.0,Brazil,2.0,66305.0,Scholarship,1.0,No,Off-campus,30.0,84.0,5.9,8.9,0.0,11.1,3.0,2.0,4.0,10.0,F1,8.0,2.8,83.0,3.02
female,group C,some college,standard,18.0,Other,0.0,66037.0,Self-funded,21.0,No,With relatives,15.0,60.0,8.8,2.0,3.0,7.1,6.0,3.0,5.0,4.0,F1,7.0,3.59,117.5,2.49
female,group D,some high school,free/reduced,29.0,India,3.0,29346.0,Scholarship,10.0,No,With relatives,11.0,60.0,8.4,2.3,2.0,1.8,8.0,10.0,1.0,5.0,Other,4.0,3.53,91.6,2.24
male,group C,some college,standard,29.0,UK,0.0,20587.0,Loan,25.0,No,With relatives,14.0,60.0,7.5,9.3,2.0,13.9,1.0,9.0,1.0,5.0,F1,3.0,2.27,107.6,2.32
male,group A,bachelor's degree,free/reduced,22.0,India,0.0,32763.0,Self-funded,24.0,No,On-campus,38.0,60.0,7.6,8.2,0.0,6.8,4.0,4.0,7.0,8.0,F1,4.0,2.18,93.5,2.62
male,group C,high school,standard,23.0,Other,2.0,79165.0,Family,12.0,Yes,Off-campus,7.0,60.0,5.3,5.6,4.0,11.0,1.0,9.0,9.0,4.0,F1,4.0,3.82,118.7,2.06
male,group C,bachelor's degree,free/reduced,20.0,Brazil,4.0,127481.0,Self-funded,3.0,Yes,On-campus,12.0,66.0,7.3,8.0,4.0,5.5,2.0,3.0,1.0,4.0,F1,10.0,3.07,84.1,2.63
female,group A,some high school,free/reduced,29.0,Germany,4.0,89615.0,Loan,21.0,Yes,With relatives,35.0,64.0,5.0,9.6,2.0,0.3,8.0,1.0,2.0,7.0,F1,10.0,3.72,99.9,2.92
female,group D,some high school,standard,26.0,UK,0.0,56116.0,Family,6.0,No,Off-campus,15.0,84.0,4.7,8.2,0.0,1.5,6.0,5.0,6.0,5.0,F1,8.0,2.12,97.1,2.08
male,group E,some college,standard,22.0,South Korea,1.0,140987.0,Family,28.0,Yes,Off-campus,11.0,77.0,9.0,8.7,0.0,7.4,9.0,10.0,6.0,6.0,J1,4.0,3.05,93.0,2.08
female,group C,some college,free/reduced,25.0,South Korea,3.0,105751.0,Scholarship,10.0,No,Off-campus,6.0,73.0,7.1,8.1,0.0,10.3,2.0,10.0,2.0,6.0,F1,5.0,3.08,105.8,2.34
male,group D,some high school,standard,18.0,Other,1.0,111353.0,Family,21.0,Yes,With relatives,10.0,74.0,6.2,3.3,3.0,5.0,3.0,2.0,9.0,6.0,J1,2.0,3.72,85.2,2.49
female,group D,some college,standard,22.0,South Korea,1.0,110301.0,Family,23.0,Yes,Off-campus,36.0,97.0,5.4,8.7,4.0,10.4,9.0,4.0,4.0,10.0,F1,4.0,2.2,108.7,2.72
female,group D,bachelor's degree,standard,20.0,Germany,0.0,115648.0,Self-funded,3.0,No,Off-campus,24.0,70.0,7.0,3.6,4.0,10.5,9.0,2.0,7.0,5.0,F1,7.0,2.48,119.2,2.27
male,group E,associate's degree,free/reduced,29.0,Other,0.0,45556.0,Loan,27.0,No,On-campus,38.0,60.0,4.2,9.1,3.0,10.6,6.0,2.0,6.0,5.0,F1,3.0,2.81,112.2,2.52
female,group D,some high school,standard,18.0,Germany,0.0,79042.0,Scholarship,14.0,Yes,On-campus,20.0,90.0,4.5,5.7,1.0,7.4,3.0,3.0,3.0,9.0,F1,1.0,3.73,114.4,2.99
female,group D,master's degree,free/reduced,21.0,Brazil,0.0,38099.0,Self-funded,0.0,No,Off-campus,29.0,95.0,4.2,7.4,3.0,13.7,5.0,5.0,8.0,8.0,J1,8.0,3.88,94.4,2.77
female,group A,some high school,standard,22.0,India,4.0,129089.0,Family,22.0,No,Off-campus,16.0,83.0,6.5,6.0,0.0,7.3,2.0,4.0,7.0,4.0,F1,8.0,3.99,93.0,2.66
male,group A,bachelor's degree,standard,24.0,Brazil,0.0,65096.0,Family,2.0,Yes,On-campus,11.0,64.0,7.0,2.8,3.0,6.8,7.0,2.0,9.0,7.0,F1,6.0,3.92,100.7,2.4
female,group B,associate's degree,standard,18.0,Brazil,4.0,91986.0,Scholarship,13.0,No,On-campus,21.0,86.0,4.3,4.3,0.0,3.0,10.0,10.0,3.0,8.0,Other,7.0,2.01,81.8,2.02
male,group C,associate's degree,standard,20.0,Germany,4.0,33230.0,Loan,5.0,No,On-campus,15.0,100.0,7.6,9.9,2.0,4.6,8.0,2.0,1.0,9.0,J1,10.0,2.1,117.8,2.7
male,group C,master's degree,free/reduced,19.0,Other,0.0,49009.0,Scholarship,17.0,Yes,With relatives,10.0,81.0,5.2,9.7,0.0,0.6,6.0,6.0,2.0,5.0,F1,2.0,2.3,85.8,2.17
female,group E,some high school,free/reduced,26.0,Other,2.0,90969.0,Self-funded,24.0,No,With relatives,27.0,60.0,7.4,4.6,4.0,9.5,8.0,7.0,1.0,3.0,J1,5.0,2.7,116.1,2.31
female,group A,some high school,free/reduced,27.0,South Korea,3.0,53866.0,Scholarship,0.0,No,On-campus,31.0,60.0,8.9,10.0,3.0,3.7,2.0,10.0,5.0,4.0,F1,7.0,3.66,83.3,2.63
female,group E,some college,standard,23.0,China,1.0,125400.0,Family,5.0,No,Off-campus,10.0,76.0,7.5,8.8,0.0,4.6,3.0,6.0,10.0,10.0,J1,9.0,3.79,112.9,2.54
female,group E,bachelor's degree,standard,27.0,India,4.0,104246.0,Self-funded,5.0,Yes,On-campus,6.0,73.0,8.4,6.9,1.0,11.6,7.0,7.0,2.0,6.0,F1,1.0,2.37,86.1,2.18
female,group C,associate's degree,free/reduced,20.0,Germany,3.0,96975.0,Family,20.0,Yes,With relatives,26.0,78.0,8.7,2.3,2.0,4.9,10.0,1.0,3.0,10.0,J1,3.0,3.24,81.5,2.93
